BLEU = 18.27, 64.0/34.6/22.6/18.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.11, 65.1/34.7/22.4/17.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.72, 66.0/35.3/21.4/16.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.02, 64.7/32.4/20.9/15.6 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.64, 65.3/34.1/21.8/16.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.30, 63.5/32.2/19.7/14.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.56, 64.5/33.9/21.8/16.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.25, 64.9/33.9/20.8/15.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.29, 64.6/32.6/19.6/13.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.68, 65.2/34.1/21.5/16.6 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.93, 64.3/35.0/22.3/16.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.22, 65.4/35.4/22.4/17.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.92, 65.2/35.0/21.8/16.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.80, 64.0/33.4/20.1/15.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.06, 66.4/35.6/22.3/16.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.83, 65.2/34.8/21.6/16.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.56, 64.9/33.4/21.5/16.6 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.40, 64.3/33.9/20.8/16.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.37, 64.5/34.0/21.2/15.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.41, 63.3/34.6/21.2/16.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.25, 65.0/34.8/20.7/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.91, 64.4/33.1/20.2/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.32, 64.9/33.9/21.1/15.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.72, 65.0/34.7/21.6/16.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.32, 64.7/34.1/20.7/16.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.42, 64.2/33.8/21.2/16.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.19, 64.7/34.8/20.7/15.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.92, 63.5/34.0/20.0/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.80, 62.4/31.8/18.6/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.41, 62.6/32.6/19.8/14.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.97, 63.5/32.2/18.4/14.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.80, 65.0/34.2/21.6/16.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.41, 63.3/33.2/19.5/14.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.21, 63.5/34.7/20.8/15.6 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
